station,lon,lat,srid,Longitude,Latitude,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,24-09,24-10,24-11,24-12
Wallington,-0.1482993,51.3622744,4326,-0.1482993,51.3622744,5.0,3.0,5.0,2.0,1.0,9.0,5.0,7.0,2.0,4.0,4.0,3.0
Lee Green,0.0125225,51.456281100000005,4326,0.0125225,51.456281100000005,5.0,2.0,6.0,6.0,3.0,3.0,8.0,12.0,4.0,4.0,4.0,4.0
Chingford,-0.0047711,51.6296127,4326,-0.0047711,51.6296127,1.0,4.0,7.0,4.0,4.0,2.0,4.0,8.0,6.0,4.0,4.0,2.0
Brixton,-0.1094833,51.4637188,4326,-0.1094833,51.4637188,5.0,10.0,6.0,6.0,12.0,16.0,18.0,20.0,14.0,10.0,8.0,9.0
Hendon,-0.2286435,51.588847300000005,4326,-0.2286435,51.588847300000005,15.0,9.0,4.0,10.0,11.0,18.0,14.0,18.0,13.0,7.0,16.0,4.0
Dowgate,-0.0901008,51.510035,4326,-0.0901008,51.510035,11.0,13.0,13.0,3.0,5.0,10.0,10.0,13.0,13.0,15.0,13.0,4.0
Old Kent Road,-0.0736212,51.487050700000005,4326,-0.0736212,51.487050700000005,8.0,6.0,4.0,9.0,3.0,10.0,15.0,10.0,9.0,6.0,14.0,6.0
Feltham,-0.41388462,51.46063583099778,4326,-0.41388462,51.46063583099779,9.0,6.0,14.0,9.0,18.0,27.0,13.0,18.0,14.0,12.0,20.0,12.0
Sutton,-0.211112875,51.36894318496129,4326,-0.211112875,51.36894318496129,8.0,3.0,6.0,8.0,6.0,11.0,15.0,12.0,4.0,7.0,11.0,4.0
Norbury,-0.12162527,51.40677604261104,4326,-0.12162527,51.40677604261104,7.0,7.0,2.0,7.0,10.0,16.0,15.0,13.0,8.0,6.0,10.0,6.0
Surbiton,-0.298031504,51.39223911850448,4326,-0.298031504,51.39223911850449,6.0,4.0,7.0,5.0,8.0,15.0,15.0,6.0,10.0,6.0,5.0,3.0
Wandsworth,-0.20140371,51.45643199633992,4326,-0.20140371,51.45643199633992,3.0,3.0,7.0,5.0,7.0,8.0,3.0,13.0,8.0,2.0,4.0,1.0
Holloway,-0.116026862,51.56154742456732,4326,-0.116026862,51.56154742456732,10.0,4.0,11.0,11.0,8.0,13.0,13.0,20.0,5.0,5.0,14.0,10.0
Islington,-0.102278269,51.540260523678,4326,-0.102278269,51.540260523678,7.0,5.0,10.0,13.0,11.0,17.0,13.0,11.0,10.0,6.0,6.0,3.0
Plaistow,0.032543993130175,51.52102590690401,4326,0.0325439931301754,51.52102590690401,11.0,6.0,10.0,12.0,10.0,10.0,14.0,16.0,14.0,6.0,11.0,10.0
Addington,-0.02368477,51.35190135393896,4326,-0.02368477,51.35190135393896,6.0,4.0,1.0,7.0,4.0,7.0,6.0,9.0,5.0,1.0,8.0,2.0
Poplar,-0.01465207,51.51092099357651,4326,-0.01465207,51.51092099357651,14.0,14.0,15.0,9.0,8.0,9.0,14.0,23.0,13.0,10.0,9.0,8.0
Battersea,-0.1692937,51.4671147,4326,-0.1692937,51.4671147,5.0,6.0,5.0,5.0,8.0,7.0,8.0,3.0,7.0,12.0,12.0,2.0
Barnet,-0.185979732,51.64721251294573,4326,-0.185979732,51.64721251294573,1.0,0.0,8.0,2.0,3.0,7.0,2.0,5.0,7.0,5.0,3.0,2.0
West Hampstead,-0.192838243,51.55167926305226,4326,-0.192838243,51.55167926305226,29.0,14.0,23.0,15.0,17.0,19.0,16.0,15.0,6.0,10.0,20.0,9.0
Peckham,-0.07797625,51.4738848,4326,-0.07797625,51.4738848,5.0,9.0,4.0,10.0,7.0,20.0,9.0,7.0,4.0,7.0,5.0,6.0
North Kensington,-0.212213165,51.52182863376975,4326,-0.212213165,51.52182863376975,12.0,6.0,8.0,11.0,10.0,16.0,9.0,8.0,8.0,10.0,12.0,13.0
Wembley,-0.304021275,51.5517024556973,4326,-0.304021275,51.5517024556973,15.0,8.0,9.0,9.0,16.0,12.0,10.0,19.0,18.0,17.0,16.0,13.0
Edmonton,-0.069076107,51.62722948234083,4326,-0.069076107,51.62722948234083,13.0,8.0,15.0,9.0,16.0,15.0,16.0,19.0,15.0,13.0,16.0,9.0
Mill Hill,-0.243210754,51.61499919681709,4326,-0.243210754,51.61499919681709,5.0,6.0,0.0,4.0,5.0,8.0,8.0,9.0,7.0,3.0,5.0,7.0
Chiswick,-0.2690961,51.4904944501704,4326,-0.2690961,51.49049445017039,5.0,2.0,6.0,6.0,0.0,6.0,4.0,9.0,5.0,6.0,0.0,4.0
Clapham,-0.140883458,51.46490572825837,4326,-0.140883458,51.46490572825837,6.0,3.0,5.0,9.0,5.0,9.0,8.0,3.0,4.0,9.0,8.0,4.0
Acton,-0.276922903,51.50704453736283,4326,-0.276922903,51.50704453736283,5.0,5.0,3.0,5.0,8.0,11.0,5.0,7.0,9.0,3.0,10.0,7.0
Beckenham,-0.034259919,51.408051019924,4326,-0.034259919,51.40805101992399,5.0,5.0,8.0,7.0,3.0,10.0,5.0,5.0,8.0,4.0,3.0,7.0
Hillingdon,-0.452172117,51.531999212778935,4326,-0.452172117,51.531999212778935,12.0,15.0,18.0,9.0,13.0,15.0,12.0,21.0,14.0,7.0,23.0,10.0
Erith,0.156402857203147,51.485609161383735,4326,0.1564028572031471,51.485609161383735,9.0,8.0,8.0,9.0,11.0,20.0,16.0,22.0,10.0,8.0,10.0,3.0
Harold Hill,0.223605867092998,51.598367696306696,4326,0.2236058670929979,51.598367696306696,6.0,16.0,9.0,6.0,9.0,9.0,12.0,10.0,13.0,5.0,10.0,8.0
Finchley,-0.179274418,51.59794872680323,4326,-0.179274418,51.59794872680323,6.0,6.0,6.0,9.0,7.0,12.0,6.0,6.0,2.0,7.0,8.0,6.0
Lambeth,-0.122246367,51.49306877083647,4326,-0.122246367,51.49306877083647,18.0,19.0,16.0,13.0,13.0,20.0,26.0,23.0,12.0,12.0,18.0,6.0
East Ham,0.05693471634772,51.52322200863399,4326,0.0569347163477199,51.52322200863399,8.0,8.0,7.0,11.0,14.0,19.0,13.0,6.0,8.0,4.0,16.0,6.0
Hornsey,-0.12720998,51.58651676667061,4326,-0.12720998,51.58651676667062,7.0,6.0,9.0,11.0,10.0,15.0,12.0,13.0,9.0,5.0,4.0,7.0
Hayes,-0.431656889,51.49440962050372,4326,-0.431656889,51.49440962050372,8.0,5.0,5.0,11.0,12.0,11.0,10.0,7.0,12.0,5.0,10.0,5.0
Lewisham,-0.01306595,51.457015585312405,4326,-0.01306595,51.457015585312405,5.0,2.0,6.0,5.0,6.0,4.0,5.0,12.0,9.0,2.0,3.0,3.0
Romford,0.181133449981198,51.593710839494186,4326,0.1811334499811983,51.593710839494186,8.0,11.0,6.0,1.0,10.0,8.0,7.0,12.0,8.0,4.0,10.0,2.0
Southall,-0.374437502,51.51129257002002,4326,-0.374437502,51.51129257002002,10.0,17.0,11.0,11.0,14.0,24.0,12.0,26.0,17.0,15.0,14.0,9.0
Ruislip,-0.436702667,51.588393022662274,4326,-0.436702667,51.588393022662274,5.0,2.0,3.0,4.0,2.0,6.0,9.0,12.0,4.0,1.0,3.0,5.0
Stanmore,-0.29758775,51.60366565073559,4326,-0.29758775,51.60366565073559,13.0,8.0,7.0,8.0,6.0,20.0,10.0,23.0,12.0,7.0,11.0,6.0
Southgate,-0.127420879,51.63048629096359,4326,-0.127420879,51.63048629096359,8.0,4.0,5.0,10.0,6.0,17.0,10.0,14.0,3.0,9.0,9.0,4.0
Richmond,-0.284856787,51.467407165281095,4326,-0.284856787,51.467407165281095,5.0,4.0,2.0,4.0,3.0,5.0,7.0,7.0,6.0,2.0,3.0,3.0
Twickenham,-0.347617951,51.43516682848798,4326,-0.347617951,51.43516682848797,5.0,5.0,7.0,7.0,9.0,10.0,10.0,5.0,4.0,3.0,2.0,7.0
Sidcup,0.094486868970587,51.42691251526856,4326,0.0944868689705866,51.42691251526856,15.0,8.0,6.0,7.0,14.0,10.0,9.0,18.0,8.0,6.0,8.0,9.0
Willesden,-0.23674362,51.54435182625723,4326,-0.23674362,51.54435182625723,5.0,5.0,7.0,13.0,8.0,10.0,6.0,17.0,8.0,12.0,8.0,7.0
Tooting,-0.162704641,51.43782735585636,4326,-0.162704641,51.43782735585636,7.0,10.0,7.0,13.0,10.0,18.0,8.0,16.0,15.0,10.0,8.0,4.0
