station,geometry,24-01,24-02,24-03,24-04,24-05,24-06,24-07,24-08,24-09,24-10,24-11,24-12
Wallington,POINT (-0.148299 51.362274),327.8,286.6666666666667,427.6,682.0,422.0,410.8888888888889,393.2,365.7142857142857,397.5,369.5,401.0,314.3333333333333
Lee Green,POINT (0.012523 51.456281),269.2,390.5,345.3333333333333,235.5,247.66666666666666,444.0,337.625,371.4166666666667,380.25,325.25,316.75,378.25
Chingford,POINT (-0.004771 51.629613),394.0,390.0,455.7142857142857,477.75,227.75,324.5,437.75,373.0,508.8333333333333,468.0,296.75,335.0
Brixton,POINT (-0.109483 51.463719),242.8,301.4,322.1666666666667,236.0,262.5,261.9375,263.44444444444446,289.35,300.35714285714283,330.6,303.625,218.0
Hendon,POINT (-0.228643 51.588847),322.2,413.22222222222223,382.75,335.8,325.45454545454544,409.8888888888889,336.7857142857143,380.72222222222223,371.6923076923077,345.42857142857144,338.0625,243.0
Dowgate,POINT (-0.090101 51.510035),263.09090909090907,332.0,293.0,437.3333333333333,295.6,398.6,273.2,231.92307692307693,309.15384615384613,371.06666666666666,289.2307692307692,282.25
Old Kent Road,POINT (-0.073621 51.487051),312.375,189.5,308.75,271.55555555555554,216.0,271.2,272.8666666666667,330.7,293.3333333333333,398.3333333333333,233.57142857142858,399.8333333333333
Feltham,POINT (-0.413885 51.460636),470.1111111111111,375.8333333333333,351.7142857142857,339.44444444444446,362.55555555555554,336.81481481481484,501.61538461538464,333.1111111111111,429.35714285714283,376.1666666666667,413.25,435.25
Sutton,POINT (-0.211113 51.368943),280.625,328.6666666666667,313.3333333333333,340.25,325.8333333333333,387.72727272727275,354.8666666666667,391.0833333333333,312.75,292.7142857142857,339.90909090909093,239.25
Norbury,POINT (-0.121625 51.406776),398.42857142857144,323.7142857142857,351.5,302.0,322.0,300.625,414.6666666666667,278.3076923076923,358.625,391.6666666666667,279.6,403.8333333333333
Surbiton,POINT (-0.298032 51.392239),257.3333333333333,443.25,282.42857142857144,389.0,370.25,338.2,326.2,332.8333333333333,290.2,273.6666666666667,295.8,328.0
Wandsworth,POINT (-0.201404 51.456432),387.0,341.6666666666667,319.85714285714283,233.0,264.7142857142857,258.875,218.66666666666666,391.84615384615387,255.875,310.0,294.0,156.0
Holloway,POINT (-0.116027 51.561547),257.0,295.5,302.09090909090907,284.6363636363636,232.125,341.2307692307692,295.6923076923077,319.6,304.0,374.8,266.2142857142857,293.9
Islington,POINT (-0.102278 51.540261),269.42857142857144,279.8,246.2,304.7692307692308,274.45454545454544,305.8235294117647,330.2307692307692,331.54545454545456,335.8,257.3333333333333,326.5,490.0
Plaistow,POINT (0.032544 51.521026),303.1818181818182,326.5,329.9,236.58333333333334,313.5,320.9,366.57142857142856,347.6875,377.7857142857143,342.1666666666667,415.90909090909093,279.0
Addington,POINT (-0.023685 51.351901),548.0,527.75,381.0,313.14285714285717,458.75,280.57142857142856,302.8333333333333,316.6666666666667,273.8,273.0,265.125,430.0
Poplar,POINT (-0.014652 51.510921),279.7142857142857,298.35714285714283,254.0,302.3333333333333,288.625,312.8888888888889,313.7142857142857,341.2173913043478,268.0,331.8,327.1111111111111,315.625
Battersea,POINT (-0.169294 51.467115),318.0,223.66666666666666,261.2,238.6,288.25,353.2857142857143,250.875,333.0,263.0,290.25,297.1666666666667,266.0
Barnet,POINT (-0.18598 51.647213),241.0,0.0,266.625,214.0,249.66666666666666,272.7142857142857,345.5,414.4,410.0,277.8,307.6666666666667,337.5
West Hampstead,POINT (-0.192838 51.551679),319.9310344827586,321.07142857142856,353.4782608695652,319.3333333333333,316.70588235294116,411.5263157894737,319.0,346.0,301.6666666666667,278.2,352.95,290.22222222222223
Peckham,POINT (-0.077976 51.473885),202.8,264.3333333333333,262.5,316.9,278.2857142857143,247.4,312.22222222222223,327.57142857142856,216.25,316.57142857142856,221.6,236.83333333333334
North Kensington,POINT (-0.212213 51.521829),317.8333333333333,215.66666666666666,246.875,331.1818181818182,392.2,367.3125,338.55555555555554,305.125,390.25,267.4,252.66666666666666,264.61538461538464
Wembley,POINT (-0.304021 51.551702),421.6666666666667,364.125,346.22222222222223,380.0,411.875,383.0833333333333,376.2,474.2105263157895,440.5,415.29411764705884,364.625,438.38461538461536
Edmonton,POINT (-0.069076 51.627229),404.0769230769231,311.75,358.4,421.44444444444446,391.5625,345.06666666666666,380.125,353.6842105263158,337.3333333333333,389.46153846153845,477.375,405.6666666666667
Mill Hill,POINT (-0.243211 51.614999),343.6,332.3333333333333,0.0,484.5,370.2,407.875,432.0,381.3333333333333,370.2857142857143,559.6666666666666,461.4,517.1428571428571
Chiswick,POINT (-0.269096 51.490494),282.4,354.5,345.6666666666667,310.0,0.0,362.5,322.5,254.55555555555554,360.6,312.6666666666667,0.0,325.0
Clapham,POINT (-0.140883 51.464906),397.1666666666667,314.3333333333333,308.6,300.3333333333333,256.8,337.22222222222223,294.25,302.0,213.5,244.88888888888889,277.375,223.5
Acton,POINT (-0.276923 51.507045),270.2,338.6,285.0,308.0,310.0,356.90909090909093,328.0,281.0,378.1111111111111,198.66666666666666,394.5,282.85714285714283
Beckenham,POINT (-0.03426 51.408051),368.2,457.2,301.25,339.42857142857144,315.0,386.7,367.0,349.8,304.0,281.0,573.6666666666666,368.85714285714283
Hillingdon,POINT (-0.452172 51.531999),304.8333333333333,318.8666666666667,398.8888888888889,320.3333333333333,322.15384615384613,340.46666666666664,345.25,361.0,381.42857142857144,389.14285714285717,358.2173913043478,303.7
Erith,POINT (0.156403 51.485609),379.22222222222223,361.375,358.75,391.3333333333333,402.0,348.0,352.5625,379.8636363636364,330.7,309.125,484.9,297.0
Harold Hill,POINT (0.223606 51.598368),252.83333333333334,306.0625,368.22222222222223,303.5,392.1111111111111,353.44444444444446,325.75,400.2,347.7692307692308,378.0,337.5,471.125
Finchley,POINT (-0.179274 51.597949),395.3333333333333,317.0,427.0,343.44444444444446,378.14285714285717,325.5833333333333,270.8333333333333,298.3333333333333,346.0,342.14285714285717,284.875,343.8333333333333
Lambeth,POINT (-0.122246 51.493069),328.8333333333333,293.2105263157895,259.125,312.53846153846155,312.3076923076923,327.55,308.15384615384613,293.1304347826087,360.5,326.25,347.1111111111111,381.6666666666667
East Ham,POINT (0.056935 51.523222),333.75,318.25,355.2857142857143,287.90909090909093,266.85714285714283,319.7894736842105,318.3076923076923,362.3333333333333,338.5,299.0,281.875,265.5
Hornsey,POINT (-0.12721 51.586517),386.0,258.3333333333333,320.77777777777777,313.72727272727275,238.8,338.6666666666667,368.8333333333333,308.2307692307692,344.3333333333333,330.4,308.5,320.57142857142856
Hayes,POINT (-0.431657 51.49441),363.0,398.4,452.6,316.0,320.6666666666667,387.0,352.1,296.2857142857143,349.25,477.4,388.7,486.0
Lewisham,POINT (-0.013066 51.457016),248.6,321.0,239.0,291.8,286.8333333333333,302.5,410.4,278.0,349.0,273.0,202.66666666666666,280.3333333333333
Romford,POINT (0.181133 51.593711),296.125,308.90909090909093,357.8333333333333,262.0,301.4,319.375,432.0,369.9166666666667,295.75,400.75,340.0,465.5
